Area,Location,Property Type,Number of structures,Swimming Pool,Boundary,Age Category,Land Rate,Market Value,Number of rooms,Proximity to schools(km),Proximity to healthcare(km),Proximity to malls(km),Proximity to highway(km)
401.76,medium density,single_storey,1,No,walled,old,57.14285714,64111.27857,3,1.751445587,0.973048622,4.13691192,0.288755546
413.61,medium density,single_storey,1,No,walled,old,35.71428571,55788.03571,3,1.772233488,0.972320221,4.163536207,0.282081281
396.71,medium density,single_storey,1,No,walled,established,57.14285714,63491.66429,3,1.800185969,0.986227965,4.191562193,0.264543806
400.68,medium density,single_storey,1,No,walled,established,57.14285714,63717.49286,5,1.830078457,1.013919875,4.214775382,0.235944223
411.95,medium density,single_storey,1,No,walled,established,57.14285714,64317.01429,3,1.873223702,1.032254722,4.260876845,0.221331676
413.14,medium density,single_storey,1,No,walled,established,57.14285714,64365.62857,3,1.798736421,0.952568662,4.20786032,0.297375994
400.66,medium density,single_storey,1,No,walled,established,57.14285714,63635.17857,3,1.797872794,0.938372624,4.214254152,0.312276419
411.94,medium density,single_storey,1,No,walled,established,35.71428571,55419.15714,4,1.808113628,0.938059879,4.227519247,0.314236926
409.85,medium density,single_storey,1,No,walled,relatively new,57.14285714,64086.67143,4,1.190612183,1.038987252,5.015948274,0.261108679
405,medium density,single_storey,1,No,walled,relatively new,35.71428571,55130.68571,4,1.392428039,0.130058533,4.120112439,0.093540907
408.28,medium density,single_storey,2,No,walled,relatively new,35.71428571,55222.97857,3,1.376413667,0.144464322,4.137570403,0.107913357
409.32,medium density,single_storey,1,No,walled,relatively new,57.14285714,63998.21429,2,1.337970587,0.075642035,4.055076682,0.133217614
409.89,medium density,single_storey,2,No,walled,relatively new,57.14285714,64023.65714,3,1.323727064,0.082950684,4.041704707,0.111120892
401.48,medium density,single_storey,1,No,walled,relatively new,57.14285714,63525.97857,3,1.304515867,0.113106059,4.084539266,0.151069806
415.77,medium density,single_storey,1,No,walled,relatively new,57.14285714,64314.99286,3,1.326877627,0.100889781,4.086009239,0.161571841
404.99,medium density,single_storey,2,No,walled,relatively new,35.71428571,55016.66429,6,0.680543957,0.206401364,3.110607032,0.278331076
412.03,medium density,single_storey,3,No,walled,relatively new,35.71428571,55265.06429,4,2.163370487,1.809336329,4.081824624,0.293157365
404.44,medium density,single_storey,1,No,walled,relatively new,35.71428571,54919.37857,4,2.136075373,1.782901333,4.115828717,0.320007146
408.68,medium density,single_storey,1,No,walled,relatively new,57.14285714,63668.26429,4,2.124636039,1.771321411,4.125020875,0.317985902
409.32,medium density,single_storey,1,No,walled,relatively new,57.14285714,63693.65,3,2.144787326,1.790585189,4.097402333,0.290126105
421.2,medium density,single_storey,1,No,walled,relatively new,57.14285714,64295.53571,4,2.115949075,1.761646991,4.123293809,0.292568645
437.75,medium density,single_storey,1,No,walled,relatively new,28.57142857,52714.5,3,2.148395335,1.793546854,4.087367691,0.270305183
410.94,medium density,single_storey,1,No,walled,established,35.71428571,54883.41429,4,2.181143815,1.82809286,4.075469858,0.320564199
401.79,medium density,single_storey,1,No,walled,established,35.71428571,54518.1,4,2.149062145,1.797066323,4.115497691,0.349405521
401.01,medium density,single_storey,1,No,walled,established,57.14285714,63075.5,4,2.145000773,1.792629639,4.115534679,0.340141027
664.99,medium density,single_storey,1,No,walled,established,64.28571429,82908.35,5,2.194646058,1.842656157,4.073895814,0.349424187
421.26,medium density,single_storey,1,No,walled,established,57.14285714,64085.22857,3,2.165571491,1.814472248,4.10923573,0.371040821
413.01,medium density,single_storey,1,No,walled,established,35.71428571,54759.78571,6,2.184998754,1.835124172,4.10367562,0.400605275
403.82,medium density,single_storey,2,No,walled,established,35.71428571,62861.81429,4,2.164397157,1.816278413,4.138888692,0.103738345
417.9,medium density,single_storey,1,No,walled,established,57.14285714,63565.47857,5,2.214902549,1.86528146,4.079385522,0.409307671
453.52,medium density,single_storey,2,No,walled,established,35.71428571,55790.45714,3,2.226142605,1.875922645,4.063300581,0.39689365
409.29,medium density,single_storey,1,No,walled,established,57.14285714,62948.9,4,2.21130732,1.86025247,4.06822624,0.374607842
405.04,medium density,single_storey,2,No,walled,established,57.14285714,62686.15714,4,2.211586527,1.863780899,4.10019623,0.449155107
415.22,medium density,single_storey,2,No,walled,established,35.71428571,54198.68571,4,2.144897458,1.799784648,4.18368912,0.498469669
412.02,medium density,single_storey,1,No,walled,established,35.71428571,54071.25,4,2.135408009,1.789674591,4.186329693,0.119549776
416.81,medium density,single_storey,1,No,walled,established,57.14285714,63151.00714,3,2.130109589,1.782221234,4.171405989,0.080855354
413.49,medium density,single_storey,1,No,walled,established,35.71428571,53772.5,5,2.062966717,1.71840368,4.259495768,0.513640382
